,Compound Score,Negative Score,Neutral Score,News Organization,Positive Score,Tweet,Tweet Number
0,0.7964,0.0,0.728,@BBC,0.272,"Gary Barlow and his ten-piece band perform songs including Greatest Day, Back for Good and Rule the World against t… https://t.co/xAcRAKlkmn",0
1,0.8268,0.0,0.688,@BBC,0.312,"The world's greatest classical musical festival is back! 🎶🎻👏 @bbcproms 2018

First Night of the Proms | 8:30pm |… https://t.co/JKCkC5EMMs",1
2,0.0,0.0,1.0,@BBC,0.0,"RT @BBCSport: This is some semi-final.

Watch Kevin Anderson and John Isner live on @BBCTwo and online.

https://t.co/gmKgD0Vwbx https://t.…",2
3,-0.7876,0.331,0.669,@BBC,0.0,"When someone gets sassy but you've got a killer comeback... 😂👏 @robbrydon #WILTY

https://t.co/cmdBgsfTm1",3
4,0.9022,0.0,0.643,@BBC,0.357,"The best time to plant a tree was 20 years ago. The second best time is now. 🌳

Eight Chinese proverbs to help with… https://t.co/zqSO489S8G",4
5,-0.0516,0.062,0.938,@BBC,0.0,"When your colleagues ask why you need to leave work at 5pm on the dot... 🍷💃

#FridayFeeling #Versailles https://t.co/Tmba34H72w",5
6,0.0,0.0,1.0,@BBC,0.0,RT @BBCNews: Downton Abbey film finally confirmed https://t.co/VcQvk7lFJb,6
7,0.0382,0.0,0.943,@BBC,0.057,"""I can't pay you, but you can use the photos in your portfolio."" 🙄  

Every photographer can relate to this. 

https://t.co/AIriphAyym",7
8,-0.7579,0.427,0.418,@BBC,0.155,"The secret to a long, happy relationship? 

Lying, lying and more lying. ❤️️😂 @rhysnicholson

https://t.co/K0t1XAHovC",8
9,0.3182,0.0,0.881,@BBC,0.119,"The original 1926 map of The Hundred Acre Wood from Winnie-the-Pooh has sold for a record £430,000. 📖🍯… https://t.co/YoDZxpIlLe",9
10,0.0,0.0,1.0,@BBC,0.0,RT @bbcproms: A Spectacular curtain raiser last night by @AnnaHMeredith &amp; @59productions  commissioned by @bbcproms @edintfest @1418NOW  in…,10
11,0.0,0.0,1.0,@BBC,0.0,RT @BBCTheOneShow: It's @ChrisGPackham UK Bioblitz 2018. Over ten days Chris &amp; his team will visit 50 wildlife sites in the UK to highlight…,11
12,0.0,0.0,1.0,@BBC,0.0,"Who is the mysterious Hester Appleyard?

Natalie Dormer spills the beans on her enigmatic role in… https://t.co/6oHcD9SONr",12
13,0.1779,0.0,0.909,@BBC,0.091,"""I think the NHS is one of the biggest assets we have in this country,"" says @JonniePeacock.… https://t.co/PTiCP0xeHc",13
14,0.0,0.0,1.0,@BBC,0.0,"⚠️ Watch out! ⚠️ Today is Friday the 13th...

📆😰 But why is this date considered unlucky?

https://t.co/RJelR8Rw6p",14
15,-0.0772,0.071,0.929,@BBC,0.0,"😺🎬 Meet Lisio, the ginger cat who jumped onto his owner's shoulders during a serious TV interview.

👉… https://t.co/7DmhNcHnU6",15
16,0.6249,0.0,0.785,@BBC,0.215,"Great Britain's John Curry was the world's first out gay Olympian. This is his story. ⛸

https://t.co/8kFobV3AWe",16
17,-0.0258,0.215,0.539,@BBC,0.246,Not all heroes wear capes. This Australian diving doctor abandoned his holiday to stay with the boys trapped in a c… https://t.co/BRaTqIJP19,17
18,0.0,0.0,1.0,@BBC,0.0,"Orkney’s mysterious stone circles are older than Stonehenge... 

https://t.co/Cbuq22PkVm",18
19,0.6597,0.178,0.512,@BBC,0.31,"RT @BBCOne: Love and trust, shattered by secrets and lies. Keeping Faith from @BBCWales starring @TeamEveMyles starts tonight at 9pm on BBC…",19
20,0.4404,0.0,0.854,@BBC,0.146,"The university access watchdog says students' backgrounds should be taken into account when awarding places, to imp… https://t.co/q9vW9zt46B",20
21,0.0,0.0,1.0,@BBC,0.0,"Why are more parents around the world choosing to raise only children?

https://t.co/bWil43TvES",21
22,-0.3182,0.087,0.913,@BBC,0.0,"RT @BBCFOUR: Dr Lucy Worsley shows how Britain's new ruling family fought the French, the Jacobites and each other, all at the same time. T…",22
23,0.0,0.0,1.0,@BBC,0.0,Meet the people getting the @bbcproms off to a spectacular start. 😍🎶🎻 https://t.co/rD5I0XXrLz https://t.co/5im1Tokqsr,23
24,0.0,0.0,1.0,@BBC,0.0,"♻️🥛Meet the schoolchildren who redesigned their milk cartons without plastic straws. 

Their school now uses fully… https://t.co/hK4M1UtcHk",24
25,-0.1788,0.182,0.733,@BBC,0.086,"Adam can't hide the fact that he has a stutter, and he doesn't want to anymore.

https://t.co/JVzJkk828L",25
26,0.0,0.0,1.0,@BBC,0.0,"Native wildlife is ""flocking back"" to the Outer Hebrides following a 17-year project to eradicate the American mink… https://t.co/QbGQddmWyW",26
27,0.0,0.0,1.0,@BBC,0.0,"Walrus siestas can last a week! 💤 These incredible creatures know how to nap... 

https://t.co/qZRpNBkpuc",27
28,0.0,0.0,1.0,@BBC,0.0,"It’s not coming home. 💔

But it's been an incredible journey. ♥️

https://t.co/TrqeqzfTUq  #ENG #WorldCup… https://t.co/nCoN5lDJys",28
29,0.0,0.0,1.0,@BBC,0.0,"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",29
30,-0.1027,0.076,0.924,@BBC,0.0,"RT @BBCSport: Extra-time it is... and we're underway...

How are your nerves?

#CRO 1-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSpo…",30
31,0.3612,0.0,0.865,@BBC,0.135,"Full time: #CRO 1-1 #ENG 

Who's ready for another 30 minutes?

Follow it live: 
📱 https://t.co/TrqeqzfTUq  
📻… https://t.co/CuPZrrxFEW",31
32,-0.296,0.306,0.694,@BBC,0.0,RT @BBCBreakfast: No fingernails left... https://t.co/E4oE20owSY,32
33,0.0,0.0,1.0,@BBC,0.0,"RT @BBCSport: GOAL 

#CRO 1-1 #ENG 

Ivan Perisic meets a cross to flick Croatia level.

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport htt…",33
34,-0.0191,0.056,0.944,@BBC,0.0,"It doesn't matter where you're watching, as long as you're watching. ⚽️⚽️⚽️

Millions of #ENG fans are watching… https://t.co/geST9JHDr4",34
35,0.0,0.0,1.0,@BBC,0.0,"RT @5liveSport: Only three men have ever scored for #ENG in a semi-final of a #WorldCup

⚽ Sir Bobby Charlton
⚽ @GaryLineker
⚽ Kieran Tripp…",35
36,0.6705,0.0,0.776,@BBC,0.224,"RT @BBCOne: We’re pretty sure that exactly 53% of the population is covered in beer right now 🤔🤗 #ENGCRO #WorldCup

https://t.co/l5UTbo9n7x",36
37,0.3182,0.0,0.874,@BBC,0.126,A gripping reimagining of Joan Lindsay's iconic novel that delves into the mysterious disappearances of three schoo… https://t.co/d4nPoQXIYJ,37
